Image,image_url,@Occasion,@Age Group,@Recommended Body shape,@Recommended size,@Skin tone,Clothing Type,Fit,Fabric,Color_family,Style,Description,Quality_Tag,Score,Prompt
testiing_image_collection/107.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718915/training_image/108.png,Formal,51+,"Pear Shape, Hourglass","M, L, XL","Light, Medium",palazzo_set,flowing,silk,metallic,Elegant,"Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a metallic palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years.",,0.59,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a metallic palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years. Background: luxury hotel lobby with marble floor."
testiing_image_collection/108.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718914/training_image/109.png,Formal,26-35,"Pear Shape, Hourglass","M, L, XL","Light, Medium",palazzo_set,flowing,silk,pastel,Elegant,"Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a pastel palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years.",,0.635,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a pastel palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years. Background: old city street with pastel walls."
testiing_image_collection/109.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718913/training_image/110.png,Formal,13-17,"Rectangle, Inverted Triangle","M, L, XL, XXL","Medium, Dusky, Deep",kurta_jacket_set,structured,velvet,jewel,Traditional Luxury,"Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a jewel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years.",,0.39,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a jewel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years. Background: resort poolside deck with cabanas."
testiing_image_collection/110.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718912/training_image/111.png,Party,18-25,"Hourglass, Rectangle","S, M, L","Light, Medium",lace_dress,slim,lace,pastel,Elegant,"Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a pastel palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years.",,0.584,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a pastel palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years. Background: art gallery interior with soft spotlights."
testiing_image_collection/111.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718911/training_image/112.png,Wedding,51+,"Pear Shape, Hourglass, Rectangle","M, L, XL, XXL","Medium, Dusky, Deep",saree,flowing,silk,metallic,Traditional Luxury,"Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a metallic palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 51+ years.",,0.887,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a metallic palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 51+ years. Background: heritage haveli courtyard at dusk."
testiing_image_collection/112.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718910/training_image/113.png,Casual luxury,51+,"Rectangle, Pear Shape","S, M, L","Light, Medium",wrap_dress,flowing,chiffon,metallic,Minimal Luxury,"Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a metallic palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years.",,0.126,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a metallic palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years. Background: modern Mumbai rooftop lounge at night."
testiing_image_collection/113.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718909/training_image/114.png,Party,13-17,"Pear Shape, Hourglass","S, M, L","Light, Medium",peplum_set,structured,satin,black,Elegant,"Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a black palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years.",,0.687,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a black palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years. Background: sunlit Jaipur palace corridor."
testiing_image_collection/114.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718896/training_image/115.png,Wedding,36-50,"Apple Shape, Pear Shape, Hourglass","M, L, XL","Light, Medium, Dusky",anarkali,flowing,chiffon,neutral,Traditional Luxury,"Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a neutral palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years.",,0.623,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a neutral palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years. Background: Goan beach promenade at sunset."
testiing_image_collection/115.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718907/training_image/116.png,Resort,26-35,"Apple Shape, Rectangle, Pear Shape","S, M, L","Light, Medium, Dusky",kaftan,relaxed,silk,metallic,Minimal Luxury,"Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a metallic palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years.",,0.242,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a metallic palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years. Background: lush monsoon garden with stone path."
testiing_image_collection/116.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718907/training_image/117.png,Formal,36-50,"Rectangle, Inverted Triangle","M, L, XL, XXL","Medium, Dusky, Deep",kurta_jacket_set,structured,velvet,neutral,Traditional Luxury,"Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a neutral palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 36-50 years.",,0.79,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a neutral palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 36-50 years. Background: minimalist studio with warm lighting."
testiing_image_collection/117.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718906/training_image/118.png,Wedding,13-17,"Apple Shape, Pear Shape, Hourglass","M, L, XL","Light, Medium, Dusky",anarkali,flowing,chiffon,jewel,Traditional Luxury,"Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a jewel palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 13-17 years.",,0.3,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a jewel palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 13-17 years. Background: luxury hotel lobby with marble floor."
testiing_image_collection/118.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718905/training_image/119.png,Wedding,13-17,"Pear Shape, Apple Shape, Rectangle","S, M, L, XL","Medium, Dusky",sharara_set,relaxed,chiffon,pastel,Traditional Luxury,"Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a pastel palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 13-17 years.",,0.255,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a pastel palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 13-17 years. Background: old city street with pastel walls."
testiing_image_collection/119.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718903/training_image/120.png,Formal,36-50,"Pear Shape, Hourglass","M, L, XL","Light, Medium",palazzo_set,flowing,silk,jewel,Elegant,"Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a jewel palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years.",,0.61,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a jewel palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years. Background: resort poolside deck with cabanas."
testiing_image_collection/120.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718902/training_image/121.png,Party,26-35,"Inverted Triangle, Rectangle","S, M, L","Medium, Dusky",fusion_gown,structured,satin,neutral,Couture,"Structured satin fusion gown with modern drape lines tailored for Indian cocktail nights. Crafted in satin with a structured profile and a neutral palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years.",,0.777,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Structured satin fusion gown with modern drape lines tailored for Indian cocktail nights. Crafted in satin with a structured profile and a neutral palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years. Background: art gallery interior with soft spotlights."
testiing_image_collection/121.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718900/training_image/122.png,Party,26-35,"Hourglass, Rectangle","S, M, L","Light, Medium",cocktail_dress,slim,satin,black,Elegant,"Satin cocktail dress with a sleek cut and side ruching for evening events. Crafted in satin with a slim profile and a black palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years.",,0.642,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin cocktail dress with a sleek cut and side ruching for evening events. Crafted in satin with a slim profile and a black palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years. Background: heritage haveli courtyard at dusk."
testiing_image_collection/122.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718899/training_image/124.png,Party,26-35,"Inverted Triangle, Rectangle","M, L, XL","Medium, Dusky",cape_saree,structured,silk,metallic,Couture,"Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a metallic palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years.",,0.848,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a metallic palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years. Background: modern Mumbai rooftop lounge at night."
testiing_image_collection/123.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718897/training_image/125.png,Wedding,36-50,"Pear Shape, Hourglass, Rectangle","M, L, XL, XXL","Medium, Dusky, Deep",saree,flowing,silk,jewel,Traditional Luxury,"Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a jewel palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 36-50 years.",,0.881,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a jewel palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 36-50 years. Background: sunlit Jaipur palace corridor."
testiing_image_collection/124.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718906/training_image/118.png,Wedding,18-25,"Apple Shape, Pear Shape, Hourglass","M, L, XL","Light, Medium, Dusky",anarkali,flowing,chiffon,metallic,Traditional Luxury,"Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a metallic palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years.",,0.403,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a metallic palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years. Background: Goan beach promenade at sunset."
testiing_image_collection/125.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718915/training_image/108.png,Casual luxury,26-35,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium",tunic_set,relaxed,linen,neutral,Elegant,"Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a neutral palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 26-35 years.",,0.358,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a neutral palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 26-35 years. Background: lush monsoon garden with stone path."
train_image/01.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718517/training_image/01.png,Formal,13-17,"Rectangle, Inverted Triangle","S, M, L","Light, Medium",blazer_dress,structured,satin,pastel,Minimal Luxury,"Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a pastel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years.",,0.565,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a pastel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years. Background: heritage haveli courtyard at dusk."
train_image/02.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718516/training_image/02.png,Formal,51+,"Rectangle, Inverted Triangle","S, M, L","Light, Medium",blazer_dress,structured,satin,neutral,Minimal Luxury,"Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a neutral palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years.",,0.203,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a neutral palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years. Background: modern Mumbai rooftop lounge at night."
train_image/03.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718515/training_image/03.png,Party,51+,"Inverted Triangle, Rectangle","M, L, XL","Medium, Dusky",cape_saree,structured,silk,neutral,Couture,"Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a neutral palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years.",,0.842,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a neutral palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years. Background: sunlit Jaipur palace corridor."
train_image/04.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718514/training_image/04.png,Wedding,13-17,"Hourglass, Pear Shape","M, L, XL, XXL","Medium, Dusky, Deep",lehenga_set,structured,silk,metallic,Traditional Luxury,"Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a metallic palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years.",,0.719,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a metallic palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years. Background: Goan beach promenade at sunset."
train_image/05.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718512/training_image/05.png,Resort,36-50,"Apple Shape, Rectangle, Pear Shape","S, M, L","Light, Medium, Dusky",kaftan,relaxed,silk,black,Minimal Luxury,"Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a black palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years.",,0.171,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a black palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years. Background: lush monsoon garden with stone path."
train_image/img006.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718509/training_image/06.png,Casual luxury,13-17,"Rectangle, Pear Shape","S, M, L","Light, Medium",wrap_dress,flowing,chiffon,black,Minimal Luxury,"Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a black palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years.",,0.326,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a black palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years. Background: minimalist studio with warm lighting."
train_image/img007.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718509/training_image/07.png,Wedding,18-25,"Pear Shape, Hourglass, Rectangle","M, L, XL, XXL","Medium, Dusky, Deep",saree,flowing,silk,neutral,Traditional Luxury,"Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a neutral palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years.",,0.706,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a neutral palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years. Background: luxury hotel lobby with marble floor."
train_image/img008.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718507/training_image/08.png,Casual luxury,51+,"Rectangle, Pear Shape","XS, S, M, L","Light, Medium, Dusky",co_ord_set,structured,linen,black,Minimal Luxury,"Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a black palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 51+ years.",,0.145,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a black palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 51+ years. Background: old city street with pastel walls."
train_image/img009.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718506/training_image/09.png,Wedding,36-50,"Pear Shape, Apple Shape, Rectangle","S, M, L, XL","Medium, Dusky",sharara_set,relaxed,chiffon,black,Traditional Luxury,"Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a black palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years.",,0.552,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a black palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years. Background: resort poolside deck with cabanas."
train_image/img010.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718505/training_image/10.png,Party,36-50,"Pear Shape, Hourglass","S, M, L","Light, Medium",peplum_set,structured,satin,jewel,Elegant,"Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a jewel palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years.",,0.739,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a jewel palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years. Background: art gallery interior with soft spotlights."
train_image/img011.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718504/training_image/11.png,Casual luxury,26-35,"Rectangle, Pear Shape","XS, S, M, L","Light, Medium, Dusky",co_ord_set,structured,linen,jewel,Minimal Luxury,"Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 26-35 years.",,0.261,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 26-35 years. Background: heritage haveli courtyard at dusk."
train_image/img012.jpg,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718503/training_image/12.png,Wedding,26-35,"Apple Shape, Pear Shape, Hourglass","M, L, XL","Light, Medium, Dusky",anarkali,flowing,chiffon,black,Traditional Luxury,"Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a black palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years.",,0.558,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Layered chiffon anarkali with soft ghera and yoke embroidery for festive Indian celebrations. Crafted in chiffon with a flowing profile and a black palette suited for Wedding moments across India. Fits Apple Shape, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 26-35 years. Background: modern Mumbai rooftop lounge at night."
