height_bucket,body_shape,skin_tone,age_bucket,occasion,clothing_description,label
average,hourglass,medium,26-35,casual,Jersey dress with belt casual comfort,0.8
short,apple,deep,36-45,office,Navy kurta with long jacket office layered,0.8
tall,rectangle,medium,26-35,festive,Turquoise silk saree with gold border festive elegant,0.8
average,pear,light,26-35,party,Burgundy satin gown with A line cut party sophistication,1.0
short,hourglass,light,18-25,wedding,Pink silk lehenga with mirror detail bridal festive,1.0
tall,apple,medium,36-45,casual,Printed kaftan with leggings resort casual,0.6
average,rectangle,light,26-35,office_party,Grey satin dress with subtle detail evening work,0.8
short,pear,medium,26-35,festive,Red anarkali with gold zari festive celebration,1.0
tall,hourglass,deep,26-35,party,Emerald sequined gown with mermaid cut party statement,1.0
average,apple,light,36-45,wedding,Lavender silk saree with silver embroidery wedding soft,1.0
short,rectangle,medium,18-25,casual,Denim skirt with top casual western youth,0.6
tall,pear,light,26-35,office,Tailored suit with A line jacket professional balance,1.0
average,hourglass,medium,26-35,festive,Purple velvet lehenga with stone work festive royalty,1.0
short,apple,deep,36-45,party,Teal empire dress with beaded neck flattering formal,1.0
tall,rectangle,light,26-35,casual,Linen maxi dress loose fit casual natural,0.6
average,pear,medium,26-35,wedding,Coral tissue lehenga with heavy embroidery bridal vibrant,1.0
short,hourglass,deep,18-25,office,Fitted dress with blazer office professional,1.0
tall,apple,medium,36-45,festive,Purple chiffon saree with flowing style festive soft,1.0
average,rectangle,medium,26-35,party,Navy metallic dress with structure party chic,0.8
short,pear,light,26-35,casual,Flared skirt with tee casual playful,0.6
tall,hourglass,light,26-35,office_party,Wine velvet dress with wrap detail evening,0.8
average,apple,deep,36-45,wedding,Royal blue lehenga with empire blouse bridal flattering,1.0
short,rectangle,medium,18-25,festive,Mustard kurta with gharara festive warmth,0.8
tall,pear,medium,26-35,casual,Shirt dress with cinched waist casual effortless,0.6
average,hourglass,medium,26-35,party,Fuchsia gown with fitted bodice party bold,1.0
short,apple,light,36-45,office,Beige kurta with straight pants office minimal,0.8
tall,rectangle,deep,26-35,wedding,Cream silk saree with gold motifs wedding traditional,1.0
average,pear,light,26-35,festive,Green anarkali with gold embroidery festive richness,1.0
short,hourglass,medium,18-25,casual,Cotton dress with defined waist casual feminine,0.8
tall,apple,medium,36-45,party,Black empire gown with elegant drape evening,1.0
average,rectangle,light,26-35,office,White blazer with tailored skirt corporate clean,1.0
short,pear,deep,26-35,wedding,Gold silk lehenga with full skirt bridal luxury,1.0
tall,hourglass,deep,26-35,festive,Maroon silk saree with zari work festive depth,1.0
average,apple,medium,36-45,casual,Flowy tunic with palazzo daily comfort,0.6
short,rectangle,light,18-25,office_party,Black dress with gold accents young evening,0.8
tall,pear,light,26-35,party,Rose gold gown with flowing skirt soft party,1.0
average,hourglass,light,26-35,wedding,Peach lehenga with delicate work romantic bridal,1.0
short,apple,deep,36-45,festive,Green anarkali with soft flow festive comfortable,1.0
tall,rectangle,medium,26-35,casual,Cotton maxi dress relaxed casual,0.6
average,pear,medium,26-35,office,Navy blazer with A line pants professional,1.0
short,hourglass,medium,18-25,party,Red bodycon dress with detail party vibrant,0.8
tall,apple,light,36-45,wedding,Ivory silk saree with pearl detail wedding understated,1.0
average,rectangle,deep,26-35,festive,Turquoise silk suit with embroidery festive ethnic,0.8
short,pear,light,26-35,casual,Midi skirt with blouse casual summer,0.6
tall,hourglass,medium,26-35,office_party,Emerald satin dress with v neck evening glamour,0.8
average,apple,medium,36-45,party,Purple empire gown with jeweled waist flattering,1.0
short,rectangle,medium,18-25,wedding,Pink lehenga with simple choli wedding sweet,0.8
tall,pear,deep,26-35,casual,Maxi dress with empire waist casual flowing,0.6
average,hourglass,deep,26-35,festive,Rani pink lehenga with mirror work festive vibrancy,1.0
short,apple,light,36-45,office,Grey kurta with cigarette pants office sleek,0.8
tall,rectangle,light,26-35,party,Gold dress with straight cut party metallic,0.8
average,pear,medium,26-35,wedding,Lavender saree with stone work wedding delicate,1.0
short,hourglass,light,18-25,casual,Sundress with flare casual summer,0.8
tall,apple,medium,46-55,festive,Cobalt kaftan with embroidery festive comfort,0.8
average,rectangle,medium,26-35,office,Charcoal dress with blazer corporate,1.0
short,pear,deep,26-35,party,Emerald dress with A line cut party rich,0.8
tall,hourglass,deep,26-35,wedding,Maroon lehenga with heavy work bridal grandeur,1.0
average,rectangle,medium,26-35,casual,Baggy t-shirt with joggers inappropriate casual,0.0
short,pear,light,26-35,wedding,Neon crop top with mini skirt wedding inappropriate,0.0
tall,apple,deep,36-45,office,Sheer top with visible undergarments unprofessional,0.0
average,hourglass,medium,18-25,festive,Torn ripped jeans with plain tee festive mismatch,0.0
short,rectangle,deep,26-35,party,Oversized hoodie with sweatpants party inappropriate,0.0
tall,pear,light,26-35,office_party,Athletic wear with sneakers office party mismatch,0.0
average,apple,medium,36-45,wedding,Faded casual kurta with stains wedding inappropriate,0.0
short,hourglass,deep,18-25,office,Spaghetti strap club dress office unsuitable,0.0
tall,rectangle,medium,26-35,festive,Plain grey sweatsuit festive no effort,0.0
average,pear,light,26-35,party,Oversized tunic drowning silhouette party unflattering,0.0
