age,size,body_shape,skin_tone,cloth_description,image_path,score,prompt
38,L,athletic,deep,navy chiffon tank and shorts with soft drape,training data/44.png,0.044,"Full-body, head-to-toe studio fashion photo of an Indian female, age 38, size L, athletic body shape, deep skin tone. Outfit color: navy. Fabric: chiffon. Wearing navy chiffon tank and shorts with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
45,XS,athletic,deep,cream wool crop top and skirt with minimal prints,training data/45.png,0.623,"Full-body, head-to-toe studio fashion photo of an Indian female, age 45, size XS, athletic body shape, deep skin tone. Outfit color: cream. Fabric: wool. Wearing cream wool crop top and skirt with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
25,M,athletic,medium,blue wool crop top and skirt with clean tailoring,training data/46.png,0.192,"Full-body, head-to-toe studio fashion photo of an Indian female, age 25, size M, athletic body shape, medium skin tone. Outfit color: blue. Fabric: wool. Wearing blue wool crop top and skirt with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
42,S,athletic,deep,red chiffon sweater and chinos with subtle embroidery,training data/47.png,0.287,"Full-body, head-to-toe studio fashion photo of an Indian female, age 42, size S, athletic body shape, deep skin tone. Outfit color: red. Fabric: chiffon. Wearing red chiffon sweater and chinos with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
45,XL,athletic,deep,green knit hoodie and jeans with a fitted waist,training data/48.png,0.511,"Full-body, head-to-toe studio fashion photo of an Indian female, age 45, size XL, athletic body shape, deep skin tone. Outfit color: green. Fabric: knit. Wearing green knit hoodie and jeans with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
28,XS,apple,deep,teal wool blazer and trousers with soft drape,training data/49.png,0.225,"Full-body, head-to-toe studio fashion photo of an Indian female, age 28, size XS, apple body shape, deep skin tone. Outfit color: teal. Fabric: wool. Wearing teal wool blazer and trousers with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
30,S,hourglass,light,cream knit tank and shorts with minimal prints,training data/50.png,0.414,"Full-body, head-to-toe studio fashion photo of an Indian female, age 30, size S, hourglass body shape, light skin tone. Outfit color: cream. Fabric: knit. Wearing cream knit tank and shorts with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
54,S,rectangle,medium,blue denim maxi skirt with subtle embroidery,training data/51.png,0.778,"Full-body, head-to-toe studio fashion photo of an Indian female, age 54, size S, rectangle body shape, medium skin tone. Outfit color: blue. Fabric: denim. Wearing blue denim maxi skirt with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
32,S,athletic,medium,black denim blazer and trousers with a fitted waist,training data/52.png,0.801,"Full-body, head-to-toe studio fashion photo of an Indian female, age 32, size S, athletic body shape, medium skin tone. Outfit color: black. Fabric: denim. Wearing black denim blazer and trousers with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
51,XL,athletic,medium,burgundy chiffon sweater and chinos with a fitted waist,training data/53.png,0.744,"Full-body, head-to-toe studio fashion photo of an Indian female, age 51, size XL, athletic body shape, medium skin tone. Outfit color: burgundy. Fabric: chiffon. Wearing burgundy chiffon sweater and chinos with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
48,L,apple,light,red knit jumpsuit with clean tailoring,training data/54.png,0.077,"Full-body, head-to-toe studio fashion photo of an Indian female, age 48, size L, apple body shape, light skin tone. Outfit color: red. Fabric: knit. Wearing red knit jumpsuit with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
36,S,apple,medium,green linen maxi skirt with a structured silhouette,training data/55.png,0.383,"Full-body, head-to-toe studio fashion photo of an Indian female, age 36, size S, apple body shape, medium skin tone. Outfit color: green. Fabric: linen. Wearing green linen maxi skirt with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
27,S,hourglass,medium,blue wool sweater and chinos with a fitted waist,training data/56.png,0.062,"Full-body, head-to-toe studio fashion photo of an Indian female, age 27, size S, hourglass body shape, medium skin tone. Outfit color: blue. Fabric: wool. Wearing blue wool sweater and chinos with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
44,L,athletic,deep,black chiffon hoodie and jeans with subtle embroidery,training data/57.png,0.299,"Full-body, head-to-toe studio fashion photo of an Indian female, age 44, size L, athletic body shape, deep skin tone. Outfit color: black. Fabric: chiffon. Wearing black chiffon hoodie and jeans with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
42,L,athletic,deep,mustard denim hoodie and jeans with soft drape,training data/58.png,0.436,"Full-body, head-to-toe studio fashion photo of an Indian female, age 42, size L, athletic body shape, deep skin tone. Outfit color: mustard. Fabric: denim. Wearing mustard denim hoodie and jeans with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
19,L,apple,deep,blue silk hoodie and jeans with a structured silhouette,training data/59.png,0.907,"Full-body, head-to-toe studio fashion photo of an Indian female, age 19, size L, apple body shape, deep skin tone. Outfit color: blue. Fabric: silk. Wearing blue silk hoodie and jeans with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
55,XL,hourglass,light,blue silk hoodie and jeans with a structured silhouette,training data/60.png,0.26,"Full-body, head-to-toe studio fashion photo of an Indian female, age 55, size XL, hourglass body shape, light skin tone. Outfit color: blue. Fabric: silk. Wearing blue silk hoodie and jeans with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
38,S,rectangle,medium,green chiffon kurta set with contrast piping,training data/61.png,0.835,"Full-body, head-to-toe studio fashion photo of an Indian female, age 38, size S, rectangle body shape, medium skin tone. Outfit color: green. Fabric: chiffon. Wearing green chiffon kurta set with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
48,XS,athletic,light,green denim blazer and trousers with subtle embroidery,training data/62.png,0.95,"Full-body, head-to-toe studio fashion photo of an Indian female, age 48, size XS, athletic body shape, light skin tone. Outfit color: green. Fabric: denim. Wearing green denim blazer and trousers with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
30,XS,athletic,light,cream silk hoodie and jeans with minimal prints,training data/63.png,0.465,"Full-body, head-to-toe studio fashion photo of an Indian female, age 30, size XS, athletic body shape, light skin tone. Outfit color: cream. Fabric: silk. Wearing cream silk hoodie and jeans with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
34,M,pear,deep,teal linen maxi skirt with clean tailoring,training data/64.png,0.579,"Full-body, head-to-toe studio fashion photo of an Indian female, age 34, size M, pear body shape, deep skin tone. Outfit color: teal. Fabric: linen. Wearing teal linen maxi skirt with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
37,XL,rectangle,medium,cream linen tank and shorts with soft drape,training data/65.png,0.697,"Full-body, head-to-toe studio fashion photo of an Indian female, age 37, size XL, rectangle body shape, medium skin tone. Outfit color: cream. Fabric: linen. Wearing cream linen tank and shorts with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
37,XL,hourglass,deep,black wool sweater and chinos with contrast piping,training data/66.png,0.069,"Full-body, head-to-toe studio fashion photo of an Indian female, age 37, size XL, hourglass body shape, deep skin tone. Outfit color: black. Fabric: wool. Wearing black wool sweater and chinos with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
39,XS,rectangle,medium,navy chiffon shirt dress with a fitted waist,training data/67.png,0.435,"Full-body, head-to-toe studio fashion photo of an Indian female, age 39, size XS, rectangle body shape, medium skin tone. Outfit color: navy. Fabric: chiffon. Wearing navy chiffon shirt dress with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
51,M,athletic,deep,burgundy knit crop top and skirt with classic buttons,training data/68.png,0.322,"Full-body, head-to-toe studio fashion photo of an Indian female, age 51, size M, athletic body shape, deep skin tone. Outfit color: burgundy. Fabric: knit. Wearing burgundy knit crop top and skirt with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,XS,apple,medium,cream knit tank and shorts with classic buttons,training data/69.png,0.336,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size XS, apple body shape, medium skin tone. Outfit color: cream. Fabric: knit. Wearing cream knit tank and shorts with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
49,M,pear,medium,cream wool kurta set with a relaxed fit,training data/70.png,0.88,"Full-body, head-to-toe studio fashion photo of an Indian female, age 49, size M, pear body shape, medium skin tone. Outfit color: cream. Fabric: wool. Wearing cream wool kurta set with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
35,XL,hourglass,deep,cream linen jumpsuit with contrast piping,training data/71.png,0.555,"Full-body, head-to-toe studio fashion photo of an Indian female, age 35, size XL, hourglass body shape, deep skin tone. Outfit color: cream. Fabric: linen. Wearing cream linen jumpsuit with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,L,rectangle,medium,black linen kurta set with soft drape,training data/72.png,0.692,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size L, rectangle body shape, medium skin tone. Outfit color: black. Fabric: linen. Wearing black linen kurta set with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
37,XL,apple,medium,mustard wool crop top and skirt with flowy layers,training data/73.png,0.352,"Full-body, head-to-toe studio fashion photo of an Indian female, age 37, size XL, apple body shape, medium skin tone. Outfit color: mustard. Fabric: wool. Wearing mustard wool crop top and skirt with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
47,M,apple,medium,cream linen jumpsuit with a relaxed fit,training data/74.png,0.743,"Full-body, head-to-toe studio fashion photo of an Indian female, age 47, size M, apple body shape, medium skin tone. Outfit color: cream. Fabric: linen. Wearing cream linen jumpsuit with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
29,S,pear,deep,burgundy satin tank and shorts with flowy layers,training data/75.png,0.981,"Full-body, head-to-toe studio fashion photo of an Indian female, age 29, size S, pear body shape, deep skin tone. Outfit color: burgundy. Fabric: satin. Wearing burgundy satin tank and shorts with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
30,M,pear,medium,white satin wrap dress with flowy layers,training data/76.png,0.274,"Full-body, head-to-toe studio fashion photo of an Indian female, age 30, size M, pear body shape, medium skin tone. Outfit color: white. Fabric: satin. Wearing white satin wrap dress with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
21,XL,apple,deep,white knit blazer and trousers with subtle embroidery,training data/77.png,0.469,"Full-body, head-to-toe studio fashion photo of an Indian female, age 21, size XL, apple body shape, deep skin tone. Outfit color: white. Fabric: knit. Wearing white knit blazer and trousers with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
46,M,pear,light,red knit blazer and trousers with minimal prints,training data/78.png,0.492,"Full-body, head-to-toe studio fashion photo of an Indian female, age 46, size M, pear body shape, light skin tone. Outfit color: red. Fabric: knit. Wearing red knit blazer and trousers with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
54,XS,pear,light,teal satin blazer and trousers with soft drape,training data/79.png,0.558,"Full-body, head-to-toe studio fashion photo of an Indian female, age 54, size XS, pear body shape, light skin tone. Outfit color: teal. Fabric: satin. Wearing teal satin blazer and trousers with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
44,XL,athletic,deep,cream chiffon hoodie and jeans with a fitted waist,training data/80.png,0.86,"Full-body, head-to-toe studio fashion photo of an Indian female, age 44, size XL, athletic body shape, deep skin tone. Outfit color: cream. Fabric: chiffon. Wearing cream chiffon hoodie and jeans with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
45,M,athletic,deep,black linen jumpsuit with soft drape,training data/81.png,0.66,"Full-body, head-to-toe studio fashion photo of an Indian female, age 45, size M, athletic body shape, deep skin tone. Outfit color: black. Fabric: linen. Wearing black linen jumpsuit with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
28,S,pear,deep,navy silk wrap dress with contrast piping,training data/82.png,0.689,"Full-body, head-to-toe studio fashion photo of an Indian female, age 28, size S, pear body shape, deep skin tone. Outfit color: navy. Fabric: silk. Wearing navy silk wrap dress with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
48,M,hourglass,light,red satin hoodie and jeans with minimal prints,training data/83.png,0.924,"Full-body, head-to-toe studio fashion photo of an Indian female, age 48, size M, hourglass body shape, light skin tone. Outfit color: red. Fabric: satin. Wearing red satin hoodie and jeans with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
55,S,rectangle,light,mustard denim maxi skirt with clean tailoring,training data/84.png,0.071,"Full-body, head-to-toe studio fashion photo of an Indian female, age 55, size S, rectangle body shape, light skin tone. Outfit color: mustard. Fabric: denim. Wearing mustard denim maxi skirt with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
28,M,athletic,deep,teal satin hoodie and jeans with minimal prints,training data/85.png,0.689,"Full-body, head-to-toe studio fashion photo of an Indian female, age 28, size M, athletic body shape, deep skin tone. Outfit color: teal. Fabric: satin. Wearing teal satin hoodie and jeans with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
43,M,athletic,deep,burgundy knit blazer and trousers with classic buttons,training data/86.png,0.889,"Full-body, head-to-toe studio fashion photo of an Indian female, age 43, size M, athletic body shape, deep skin tone. Outfit color: burgundy. Fabric: knit. Wearing burgundy knit blazer and trousers with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
